PartitionKey,RowKey,Type,Type@type,firmware,firmware@type,id,id@type,max_duration,max_duration@type,parent,parent@type,progress,progress@type,project,project@type,render,render@type,startdate,startdate@type,status,status@type,test_plan,test_plan@type,text,text@type
main,123ABC456DEF789G0,DUT,String,,String,123ABC456DEF789G0,String,1440,String,GMG1P6912A0009,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,Sandisk - 2.00TB - R1033UCO - (F789G0),String
main,210123900008,DUT,String,,String,210123900008,String,1440,String,S267699X7920610,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 7.68TB - LA109503 - (900008),String
main,210123900009,DUT,String,,String,210123900009,String,1440,String,S267699X9825447,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 7.68TB - LA404002 - (900009),String
main,211221900026,DUT,String,,String,211221900026,String,1440,String,S267699X7920610,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 3.84TB - LA109508 - (900026),String
main,211338900032,DUT,String,,String,211338900032,String,1440,String,S267699X9825447,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 3.84TB - LA109508 - (900032),String
main,211338900052,DUT,String,,String,211338900052,String,1440,String,S267699X7920610,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 3.84TB - LA109508 - (900052),String
main,211338900156,DUT,String,,String,211338900156,String,1440,String,S267699X9825447,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 3.84TB - LA109508 - (900156),String
main,211338900196,DUT,String,,String,211338900196,String,1440,String,S267699X7920610,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 3.84TB - LA109508 - (900196),String
main,21144R900032,DUT,String,,String,21144R900032,String,1440,String,S267699X7920610,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 7.68TB - LA109508 - (900032),String
main,21144R900124,DUT,String,,String,21144R900124,String,1440,String,S267699X7920610,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 7.68TB - LA404002 - (900124),String
main,21362J900001,DUT,String,,String,21362J900001,String,1440,String,S267699X7920610,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 15.36TB - LA109508 - (900001),String
main,21362J900014,DUT,String,,String,21362J900014,String,1440,String,S267699X7920610,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_AWS - 15.36TB - LA109508 - (900014),String
main,21432E900100,DUT,String,,String,21432E900100,String,1440,String,S374045X0321832,String,0,Int32,,String,split,String,2023-11-13 00:00,String,,String,,String,CB_MS - 7.68TB - LA200103 - (900100),String
